"","year","sector","lifetime_probability"
"649",59,"othe",0
"650",60,"tran",2.87e-12
"651",60,"mach",2.87e-12
"652",60,"pack",0
"653",60,"heal",0
"654",60,"buil",0.000715
"655",60,"elec",0
"656",60,"hous",0
"657",60,"comm",0
"658",60,"agri",1.59e-14
"659",60,"text",0
"660",60,"othe",0
"661",61,"tran",1.71e-12
"662",61,"mach",1.71e-12
"663",61,"pack",0
"664",61,"heal",0
"665",61,"buil",0.000555
"666",61,"elec",0
"667",61,"hous",0
"668",61,"comm",0
"669",61,"agri",1.19e-14
"670",61,"text",0
"671",61,"othe",0
"672",62,"tran",1.03e-12
"673",62,"mach",1.03e-12
"674",62,"pack",0
"675",62,"heal",0
"676",62,"buil",0.000429
"677",62,"elec",0
"678",62,"hous",0
"679",62,"comm",0
"680",62,"agri",9.66e-15
"681",62,"text",0
"682",62,"othe",0
"683",63,"tran",6.16e-13
"684",63,"mach",6.16e-13
"685",63,"pack",0
"686",63,"heal",0
"687",63,"buil",0.000331
"688",63,"elec",0
"689",63,"hous",0
"690",63,"comm",0
"691",63,"agri",6.55e-15
"692",63,"text",0
"693",63,"othe",0
"694",64,"tran",3.72e-13
"695",64,"mach",3.72e-13
"696",64,"pack",0
"697",64,"heal",0
"698",64,"buil",0.000255
"699",64,"elec",0
"700",64,"hous",0
"701",64,"comm",0
"702",64,"agri",5.88e-15
"703",64,"text",0
"704",64,"othe",0
"705",65,"tran",2.24e-13
"706",65,"mach",2.24e-13
"707",65,"pack",0
"708",65,"heal",0
"709",65,"buil",0.000196
"710",65,"elec",0
"711",65,"hous",0
"712",65,"comm",0
"713",65,"agri",3.77e-15
"714",65,"text",0
"715",65,"othe",0
"716",66,"tran",1.36e-13
"717",66,"mach",1.36e-13
"718",66,"pack",0
"719",66,"heal",0
"720",66,"buil",0.00015
"721",66,"elec",0
"722",66,"hous",0
"723",66,"comm",0
"724",66,"agri",2.44e-15
"725",66,"text",0
"726",66,"othe",0
"727",67,"tran",8.32e-14
"728",67,"mach",8.32e-14
"729",67,"pack",0
"730",67,"heal",0
"731",67,"buil",0.000115
"732",67,"elec",0
"733",67,"hous",0
"734",67,"comm",0
"735",67,"agri",2.66e-15
"736",67,"text",0
"737",67,"othe",0
"738",68,"tran",5e-14
"739",68,"mach",5e-14
"740",68,"pack",0
"741",68,"heal",0
"742",68,"buil",8.77e-05
"743",68,"elec",0
"744",68,"hous",0
"745",68,"comm",0
"746",68,"agri",2.22e-15
"747",68,"text",0
"748",68,"othe",0
"749",69,"tran",3.13e-14
"750",69,"mach",3.13e-14
"751",69,"pack",0
"752",69,"heal",0
"753",69,"buil",6.69e-05
"754",69,"elec",0
"755",69,"hous",0
"756",69,"comm",0
"757",69,"agri",1.33e-15
"758",69,"text",0
"759",69,"othe",0
"760",70,"tran",1.87e-14
"761",70,"mach",1.87e-14
"762",70,"pack",0
"763",70,"heal",0
"764",70,"buil",5.09e-05
"765",70,"elec",0
"766",70,"hous",0
"767",70,"comm",0
"768",70,"agri",9.99e-16
"769",70,"text",0
"770",70,"othe",0
"771",71,"tran",1.22e-14
"772",71,"mach",1.22e-14
"773",71,"pack",0
"774",71,"heal",0
"775",71,"buil",3.87e-05
"776",71,"elec",0
"777",71,"hous",0
"778",71,"comm",0
"779",71,"agri",1.44e-15
"780",71,"text",0
"781",71,"othe",0
"782",72,"tran",6.88e-15
"783",72,"mach",6.88e-15
"784",72,"pack",0
"785",72,"heal",0
"786",72,"buil",2.94e-05
"787",72,"elec",0
"788",72,"hous",0
"789",72,"comm",0
"790",72,"agri",6.66e-16
"791",72,"text",0
"792",72,"othe",0
"793",73,"tran",4.88e-15
"794",73,"mach",4.88e-15
"795",73,"pack",0
"796",73,"heal",0
"797",73,"buil",2.23e-05
"798",73,"elec",0
"799",73,"hous",0
"800",73,"comm",0
"801",73,"agri",0
"802",73,"text",0
"803",73,"othe",0
"804",74,"tran",2.22e-15
"805",74,"mach",2.22e-15
"806",74,"pack",0
"807",74,"heal",0
"808",74,"buil",1.69e-05
"809",74,"elec",0
"810",74,"hous",0
"811",74,"comm",0
"812",74,"agri",4.44e-16
"813",74,"text",0
"814",74,"othe",0
"815",75,"tran",1.78e-15
"816",75,"mach",1.78e-15
"817",75,"pack",0
"818",75,"heal",0
"819",75,"buil",1.28e-05
"820",75,"elec",0
"821",75,"hous",0
"822",75,"comm",0
"823",75,"agri",2.22e-16
"824",75,"text",0
"825",75,"othe",0
"826",76,"tran",8.88e-16
"827",76,"mach",8.88e-16
"828",76,"pack",0
"829",76,"heal",0
"830",76,"buil",9.69e-06
"831",76,"elec",0
"832",76,"hous",0
"833",76,"comm",0
"834",76,"agri",2.22e-16
"835",76,"text",0
"836",76,"othe",0
"837",77,"tran",7.77e-16
"838",77,"mach",7.77e-16
"839",77,"pack",0
"840",77,"heal",0
"841",77,"buil",7.32e-06
"842",77,"elec",0
"843",77,"hous",0
"844",77,"comm",0
"845",77,"agri",8.88e-16
"846",77,"text",0
"847",77,"othe",0
"848",78,"tran",4.44e-16
"849",78,"mach",4.44e-16
"850",78,"pack",0
"851",78,"heal",0
"852",78,"buil",5.53e-06
"853",78,"elec",0
"854",78,"hous",0
"855",78,"comm",0
"856",78,"agri",-2.22e-16
"857",78,"text",0
"858",78,"othe",0
"859",79,"tran",9.99e-16
"860",79,"mach",9.99e-16
"861",79,"pack",0
"862",79,"heal",0
"863",79,"buil",4.18e-06
"864",79,"elec",0
"865",79,"hous",0
"866",79,"comm",0
"867",79,"agri",8.88e-16
"868",79,"text",0
"869",79,"othe",0
"870",80,"tran",0
"871",80,"mach",0
"872",80,"pack",0
"873",80,"heal",0
"874",80,"buil",3.15e-06
"875",80,"elec",0
"876",80,"hous",0
"877",80,"comm",0
"878",80,"agri",0
"879",80,"text",0
"880",80,"othe",0
"881",81,"tran",0
"882",81,"mach",0
"883",81,"pack",0
"884",81,"heal",0
"885",81,"buil",2.38e-06
"886",81,"elec",0
"887",81,"hous",0
"888",81,"comm",0
"889",81,"agri",0
"890",81,"text",0
"891",81,"othe",0
"892",82,"tran",0
"893",82,"mach",0
"894",82,"pack",0
"895",82,"heal",0
"896",82,"buil",1.79e-06
"897",82,"elec",0
"898",82,"hous",0
